Port country;Port name;Port code;Port location;Latitude;Longitude;Port salinity min;Port salinity max;Target category
FI;Hamina;HAM;Site 1;60.51720428466797;27.15322494506836;3.700000047683716;6.099999904632568;Target HELCOM
FI;Hamina;HAM;Site 2;60.523067474365234;27.166851043701172;3.700000047683716;6.099999904632568;Target HELCOM
FI;Kokkola;KOK;Site 1;63.84089660644531;23.026443481445312;2.299999952316284;3.9000000953674316;Target HELCOM
FI;Kokkola;KOK;Site 2;63.84589767456055;23.01738739013672;2.299999952316284;3.9000000953674316;Target HELCOM
FI;Kokkola;KOK;Site 3;63.86027145385742;23.036441802978516;2.299999952316284;3.9000000953674316;Target HELCOM
FI;Kotka;KOT;Site 1;60.417415618896484;26.914358139038086;0.20000000298023224;4.199999809265137;Target HELCOM
FI;Kotka;KOT;Site 2;60.42783737182617;26.918392181396484;0.20000000298023224;4.199999809265137;Target HELCOM
FI;Kotka;KOT;Site 3;60.48137664794922;26.94959259033203;0.20000000298023224;4.199999809265137;Target HELCOM
FI;Kotka;KOT;Site 4;60.49061584472656;26.942724227905273;0.20000000298023224;4.199999809265137;Target HELCOM
EE;Muuga;MUU;Site 1;59.498226165771484;24.93973731994629;0.0;3.5;Target HELCOM
EE;Muuga;MUU;Site 2;59.49378204345703;24.958105087280273;0.0;3.5;Target HELCOM
EE;Muuga;MUU;Site 3;59.49042510986328;24.965229034423828;0.0;3.5;Target HELCOM
FI;Naantali;NAA;Site 1;60.45650100708008;22.05287742614746;5.800000190734863;11.800000190734863;Target HELCOM
FI;Naantali;NAA;Site 2;60.45774841308594;22.04644012451172;5.800000190734863;11.800000190734863;Target HELCOM
FI;Naantali;NAA;Site 3;60.45820236206055;22.038082122802734;5.800000190734863;11.800000190734863;Target HELCOM
FI;Skoldvik;SKO;Site 1;60.31336212158203;25.554155349731445;0.5;6.900000095367432;Target HELCOM
FI;Skoldvik;SKO;Site 1B;60.311309814453125;25.554595947265625;0.5;6.900000095367432;Target HELCOM
FI;Skoldvik;SKO;Site 2;60.30950164794922;25.552230834960938;0.5;6.900000095367432;Target HELCOM
FI;Skoldvik;SKO;Site 3;60.30678939819336;25.551807403564453;0.5;6.900000095367432;Target HELCOM
FI;Skoldvik;SKO;Site 3B ;60.306270599365234;25.553190231323242;0.5;6.900000095367432;Target HELCOM
FI;Skoldvik;SKO;Site 4;60.3050422668457;25.550905227661133;0.5;6.900000095367432;Target HELCOM
FI;Skoldvik;SKO;Site 5;60.2979621887207;25.546550750732422;0.5;6.900000095367432;Target HELCOM
FI;Skoldvik;SKO;Site 5B ;60.29747009277344;25.547569274902344;0.5;6.900000095367432;Target HELCOM
FI;Skoldvik;SKO;Site 6;60.28980255126953;25.54265594482422;0.5;6.900000095367432;Target HELCOM
FI;Skoldvik;SKO;Site 6B ;60.28961944580078;25.543712615966797;0.5;6.900000095367432;Target HELCOM
FI;Turku;TKU;Site 1;60.43425369262695;22.217832565307617;3.700000047683716;11.800000190734863;Target HELCOM
FI;Turku;TKU;Site 2;60.44350051879883;22.217458724975586;3.700000047683716;11.800000190734863;Target HELCOM
FI;Turku;TKU;Site 3;60.441123962402344;22.164167404174805;3.700000047683716;11.800000190734863;Target HELCOM
PL;Gdynia;GDY;Site 1;54.518611907958984;18.551666259765625;5.0;8.0;Target HELCOM
PL;Gdynia;GDY;Site 2;54.5363883972168;18.538333892822266;5.0;8.0;Target HELCOM
PL;Gdynia;GDY;Site 3;54.5352783203125;18.516666412353516;5.0;8.0;Target HELCOM
SE;Gothenburg;GOT;Site 1;57.709598541259766;11.96030044555664;3.0;35.0;Target Joint
SE;Gothenburg;GOT;Site 2;57.70280075073242;11.934200286865234;3.0;35.0;Target Joint
SE;Gothenburg;GOT;Site 3;57.70029830932617;11.92959976196289;3.0;35.0;Target Joint
